photo_id,user,text,date,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date
50689,richard_cz,https://x.com/amyforsandiego/status/1845580588390187043,2024-10-15T21:01:20+00:00,,https://x.com/amyforsandiego/status/1845580588390187043,0.0,1.0,0.0,0.0,[],[],[],[],[]
52821,richard_cz,You are making an unfounded assumption.,2024-10-28T14:39:43+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
54562,Unknown,Fake n Funny,2024-11-03T09:58:29+00:00,,,0.483,0.0,0.517,-0.0516,[],[],[],[],[]
56518,mruponly,Tramp imo has personality except he lost it after shotting and enron mask rim job made him weak.,2024-11-04T11:38:14+00:00,,,0.0,0.755,0.245,-0.6369,[],[],[],[],[]
67142,,Hunting.... moose))))),2024-11-07T04:16:37+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
71625,,Should say bitches underneath lol.,2024-11-11T02:36:27+00:00,,,0.289,0.309,0.402,-0.2732,[],[],[],[],[]
72041,,Ewww,2024-11-12T09:37:48+00:00,,,0.0,1.0,0.0,0.0,[],['Ewww'],[],[],[]
72489,,Gross.,2024-11-13T01:49:30+00:00,,,0.0,0.0,1.0,-0.4767,[],[],[],[],[]
74054,,If gets to inauguration. They will do anything. Probably the grid. We will have to go door to door checking on them and find them under their bed in fetal position.,2024-11-16T21:48:10+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
52820,mruponly,,2024-10-28T13:19:09+00:00,,,0.0,0.0,0.0,0.0,[],[],[],[],[]
53535,MazelTov845,The head of the sanitation department.,2024-10-31T14:34:31+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
56459,Nin9Fingers,But please also remember that Hitler once fought against the commies. So this uniform in the picture might be not the right one.,2024-11-04T10:37:05+00:00,,,0.11,0.781,0.11,0.0,['Hitler'],[],[],[],[]
60286,,I hate trum because he damaged all Afghan people,2024-11-05T12:48:02+00:00,,,0.0,0.476,0.524,-0.765,[],[],[],['Afghan'],[]
62045,Still_ty_ping,I bet the secret raid in pdiddys house was done to erase all the 18+ contents tapes from Diddy probably of kamala too who is rumoured to have been whoring herself to many celebs ..,2024-11-05T18:35:37+00:00,,,0.0,1.0,0.0,0.0,['kamala'],['Diddy'],[],[],[]
67502,rajudada1993,Okay I deleted that post,2024-11-06T07:32:42+00:00,,,0.388,0.612,0.0,0.2263,[],[],[],[],[]
68479,chrisocn69,Mass media mind control!,2024-11-06T13:52:32+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
69591,Maronads,Soon Canada will become full of 🌈 gay country,2024-11-07T09:52:16+00:00,,,0.0,1.0,0.0,0.0,[],[],['Canada'],[],[]
71314,,Yes and entertaining,2024-11-10T12:38:24+00:00,,,0.848,0.152,0.0,0.6808,[],[],[],[],[]
71481,,They can't seem to digest that. This is beyond brainwashed.,2024-11-10T15:42:38+00:00,,,0.0,1.0,0.0,0.0,[],[],[],[],[]
73412,Maronads,,2024-11-15T04:10:31+00:00,,,0.0,0.0,0.0,0.0,[],[],[],[],[]
