comment_text,mentions,new_hashtags,urls,Positive,Neutral,Negative,Compound,Persons,Organizations,Locations,Nationalities/religiious groups,Date,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit
We won’t let him.,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.01182651985436678,0.0008251340477727354,0.0012546326033771038,0.007057487033307552,0.004829327575862408,0.0006527919322252274,0.0008081532432697713
Coming to America under a Harris regime!,,,,0.0,1.0,0.0,0.0,['Harris'],[],['America'],[],[],0.017984896898269653,0.0008477736846543849,0.0006296877982094884,0.0016117786290124059,0.00917997770011425,0.0032890615984797478,0.0005352925509214401
she is going to win chuck and if this is true ...good luck... your going to need it,,,,0.292,0.708,0.0,0.765,['chuck'],[],[],[],[],0.0048513454385101795,0.00047899805940687656,0.0010863302741199732,0.0012542157201096416,0.002424573991447687,0.0008902945555746555,0.0007900018244981766
She is so inept that would be her only way to go,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.7981364727020264,0.028934970498085022,0.042217280715703964,0.012246701866388321,0.8000682592391968,0.01993306539952755,0.00153977214358747
Coming to America for freedom but ended up under a Harris communist regime nightmare.,,,,0.178,0.822,0.0,0.3818,['Harris'],[],['America'],[],[],0.057686351239681244,0.002130223670974374,0.0019502168288454413,0.002724024234339595,0.03670024126768112,0.025324895977973938,0.0008542328723706305
"Who in the fuck loves communist dictators more than boot licking Trump?n Get real, idiot.",,,,0.164,0.533,0.302,-0.4767,[],['Trump?n'],[],[],[],0.9356072545051575,0.16714933514595032,0.7958972454071045,0.01656128279864788,0.9176725149154663,0.10430963337421417,0.28209951519966125
Explains a lot ,,,,0.0,1.0,0.0,0.0,[],[],[],[],[],0.0042173718102276325,0.0005084166768938303,0.0011286018416285515,0.0012697387719526887,0.002347670029848814,0.0013238128740340471,0.0008600052678957582
"Elon, trump, how dare you try to disgrace the United Center home of MJ 6x MBA Champion with your ignorant retarded parody!!! I'm very glad to know that you 2 racists were rejected from doing the Republican National Convention in Chicago Illinois!!!",,,,0.167,0.55,0.283,-0.7891,[],"['the United Center', 'the Republican National Convention']",[],[],[],0.6725648641586304,0.026116466149687767,0.03801458701491356,0.0068624746054410934,0.6557105183601379,0.11928323656320572,0.004224392585456371
Fake photo  Actual conversation,,,,0.0,0.492,0.508,-0.4767,[],[],[],[],[],0.08006083965301514,0.0014881030656397343,0.0026701970491558313,0.0009104329510591924,0.06961224228143692,0.0038428944535553455,0.0009587177773937583
"“@ElonMusk is a total and complete phony. He is owned – lock, stock, and barrel – by the Chinese Communist Party, and he acts like it.”   –Steve Bannon on @Timcast IRL  Thoughts?",@ElonMusk @Timcast,,,0.161,0.839,0.0,0.6369,['Steve Bannon'],"['the Chinese Communist Party', '@Timcast IRL  Thoughts']",[],[],[],0.2743586301803589,0.008578259497880936,0.005587413441389799,0.0035973642952740192,0.231076180934906,0.11825375258922577,0.001356518710963428
